type,lookback,n_long,n_short,total_return,ann_return,ann_vol,sharpe,max_drawdown,calmar,n_weeks,key
hybrid,2,3,0,2.5245284291578685,0.3681094018384592,0.4247575623474898,0.8666341331371346,-0.45748889992325303,0.8046302367122178,209,hybrid_lb2_L3_S0
hybrid,4,8,0,2.055472763413682,0.3203509031486216,0.3706653538074781,0.8642590947817863,-0.4388870862474741,0.7299164481863706,209,hybrid_lb4_L8_S0
hybrid,8,3,0,2.6135588733659967,0.37662736131245333,0.43666623338450183,0.8625062634069488,-0.42493270901078073,0.8863223595783447,209,hybrid_lb8_L3_S0
momentum,13,5,8,1.0691876605148143,0.1983183752105424,0.23010498749231828,0.8618603941262376,-0.4050355992262149,0.48963196220137767,209,momentum_lb13_L5_S8
mean_reversion,2,3,0,2.25918190442563,0.34172460419436956,0.39761887141734925,0.8594275291216954,-0.4076339356455313,0.8383124522084077,209,mean_reversion_lb2_L3_S0
mean_reversion,13,5,0,2.128543583790705,0.3281374956770886,0.38239579795120776,0.8581095750402511,-0.32403930490383714,1.0126472027042142,209,mean_reversion_lb13_L5_S0
mean_reversion,13,10,0,1.9620879792010908,0.3101933054531527,0.3658597826840581,0.8478475091672573,-0.41581562389215,0.7459876147742045,209,mean_reversion_lb13_L10_S0
mean_reversion,2,8,0,1.9381997261244033,0.3075563754515933,0.3636406967324261,0.8457699542851203,-0.4345398989996858,0.7077747662748356,209,mean_reversion_lb2_L8_S0
mean_reversion,26,5,0,2.1189468701431333,0.32712269348407164,0.3953538770179408,0.8274174416891507,-0.38685838682564166,0.8455876998512815,209,mean_reversion_lb26_L5_S0
momentum,4,3,3,1.5688943402675761,0.26458036240257043,0.3212884593498535,0.8234978714702815,-0.3218090176218015,0.8221657813004865,209,momentum_lb4_L3_S3
mean_reversion,13,3,0,2.243883645455048,0.34015488869940036,0.41908359103761916,0.8116635820963609,-0.38166102180060335,0.8912486978487218,209,mean_reversion_lb13_L3_S0
mean_reversion,26,3,0,2.3712196418595126,0.35305496089209387,0.43685563839009395,0.8081730664921176,-0.3899707594066206,0.905337008931906,209,mean_reversion_lb26_L3_S0
momentum,2,5,0,2.0220814406049445,0.3167460130328872,0.3951102591493775,0.8016648661940629,-0.38966739805661144,0.812862494046448,209,momentum_lb2_L5_S0
momentum,26,5,8,1.0890863705442437,0.20117525249322732,0.2531914024921586,0.7945579925426487,-0.27108562858146634,0.7421096188165148,209,momentum_lb26_L5_S8
momentum,2,8,0,1.838773959645244,0.2964049502240875,0.3758307443842331,0.7886660542093809,-0.43897539826694976,0.6752199585541186,209,momentum_lb2_L8_S0
mean_reversion,13,8,0,1.7591996200584816,0.28726667959506913,0.3674118114896387,0.7818656630291002,-0.3841619649403961,0.7477749121770538,209,mean_reversion_lb13_L8_S0
mean_reversion,8,5,0,1.8942197367940095,0.3026591790460724,0.3877169345442022,0.7806189311846201,-0.5090021524700213,0.5946127684870608,209,mean_reversion_lb8_L5_S0
mean_reversion,4,5,0,1.8458068945842436,0.2972033121151634,0.38184429228819705,0.7783364007726195,-0.46662468977715443,0.6369215316426966,209,mean_reversion_lb4_L5_S0
hybrid,4,10,0,1.719712198099102,0.28265829171196,0.3659964906989848,0.7722978195013169,-0.46889725223403367,0.6028149884974822,209,hybrid_lb4_L10_S0
momentum,26,8,8,0.8902875748571981,0.17165889766823028,0.22287835825580743,0.7701909643071299,-0.20961010039601413,0.8189438263896489,209,momentum_lb26_L8_S8
mean_reversion,26,8,0,1.7145839673665417,0.2820561198693481,0.36886561988845035,0.7646581970817596,-0.40544641555359284,0.6956680563675257,209,mean_reversion_lb26_L8_S0
hybrid,4,5,0,1.8503670478729752,0.29772017803916007,0.3948792441532579,0.7539524612836093,-0.4498964400464641,0.6617526869259341,209,hybrid_lb4_L5_S0
momentum,4,3,5,1.213418590323299,0.21857743792783002,0.2984180087387589,0.7324539120532001,-0.32047299327998036,0.6820463580744554,209,momentum_lb4_L3_S5
mean_reversion,26,10,0,1.5616188820979864,0.26368833110027046,0.36779710121924275,0.7169396665339313,-0.42402219920542183,0.6218738820618304,209,mean_reversion_lb26_L10_S0
momentum,26,10,8,0.7308674966083832,0.1462542292352358,0.20575308558838418,0.7108239899148934,-0.23196924471435254,0.630489741928218,209,momentum_lb26_L10_S8
momentum,13,3,8,0.9754756786825962,0.18457959529172374,0.27061297034984083,0.6820796322257002,-0.5153265151910462,0.35817989148742874,209,momentum_lb13_L3_S8
